id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_conductor,id_proveedor,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,ciudad,descripcion,documentos_completos,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,historial_siniestros_vehiculo,historial_siniestros_conductor,historial_solo_rc_asegurado,tipo_impacto,hora_evento,tercero_identificado,evidencia_camaras,tipo_via,clima,documento_inconsistente,relato_ilogico,narrativa_cluster_id,similitud_narrativa_max,etiqueta_fraude_simulada,perfil_riesgo_generacion
SIN-00001,POL-00417,ASEG-00073,VEH-00335,COND-00468,PROV-0008,Vehiculos,Choque,2025-09-03,2025-09-10,3120,2850,0,Reserva,Guayaquil Sur,Guayaquil,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0008,304,61,7,1,1,0,0,Posterior,19,Si,No aplica,Interprovincial,Despejado,No,No,,0.47,0,normal
SIN-00002,POL-00229,ASEG-00295,VEH-00211,COND-00016,PROV-0053,Vehiculos,Choque,2023-09-22,2023-09-25,6140,7640,0,Pago Parcial,Guayaquil Centro,Guayaquil,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0053,173,192,3,1,1,0,0,Frontal,8,Si,Si,Interprovincial,Neblina,No,No,,0.39,0,normal
SIN-00003,POL-00363,ASEG-00032,VEH-00098,COND-00194,PROV-0049,Vehiculos,Robo Total,2024-07-20,2024-07-25,11110,11410,4440,Liquidado,Quito Norte,Quito,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0049,350,15,5,3,3,2,2,Robo,4,Si,No,Interprovincial,Noche lluvia,Si,No,,0.57,1,alto
SIN-00004,POL-00144,ASEG-00262,,,PROV-0018,Accidentes Personales,Accidente Personal,2024-03-07,2024-03-09,2780,2520,1670,Reserva,Manta,Manta,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0018,201,164,2,1,0,0,0,Volcadura,15,Si,No,Parqueadero,Neblina,No,No,,0.47,0,normal
SIN-00005,POL-00163,ASEG-00276,VEH-00268,COND-00435,PROV-0023,Vehiculos,Danos Propios,2024-07-25,2024-07-28,8800,5810,8800,Reserva,Cuenca,Cuenca,Me chocaron saliendo del parqueadero y el otro vehiculo huyo sin dejar datos.,Si,PROV-0023,26,339,3,0,0,1,0,Frontal,4,No,No,Parqueadero,Lluvia,No,No,CLON-01,0.95,1,alto
SIN-00006,POL-00219,ASEG-00206,,,PROV-0048,Accidentes Personales,Accidente Personal,2023-08-25,2023-08-27,3430,2950,0,Reserva,Santo Domingo,Santo Domingo,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,No,PROV-0048,75,290,2,0,0,0,0,Volcadura,13,No,No,Parqueadero,Despejado,No,No,,0.54,0,medio
SIN-00007,POL-00515,ASEG-00105,VEH-00231,COND-00297,PROV-0040,Vehiculos,Perdida Total por Robo,2025-10-30,2025-11-05,7960,8100,0,Reserva,Machala,Machala,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0040,44,321,6,1,1,1,0,Robo,1,No,No,Parqueadero,Noche seca,No,Si,,0.07,0,normal
SIN-00008,POL-00322,ASEG-00237,VEH-00240,COND-00104,PROV-0017,Vehiculos,Danos Propios,2025-10-29,2025-10-29,4490,4540,3600,Cierre Sin Consecuencia,Loja,Loja,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0017,299,66,0,1,0,1,0,Lateral,10,Si,Si,Perimetral,Noche lluvia,No,No,,0.2,0,normal
SIN-00009,POL-00454,ASEG-00046,VEH-00248,COND-00211,PROV-0021,Vehiculos,Danos Propios,2024-04-21,2024-04-23,15040,14470,6020,Cierre Sin Consecuencia,Guayaquil Norte,Guayaquil,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0021,136,229,2,5,0,0,3,Posterior,20,No,No,Urbana,Lluvia,No,No,,0.39,0,normal
SIN-00010,POL-00397,ASEG-00189,VEH-00338,COND-00402,PROV-0045,Vehiculos,Perdida Total por Robo,2024-06-13,2024-06-23,30870,29000,24690,Pago Parcial,Santo Domingo,Santo Domingo,Me chocaron saliendo del parqueadero y el otro vehiculo huyo sin dejar datos.,Si,PROV-0045,351,14,10,1,1,0,0,Robo,4,Si,No aplica,Parqueadero,Despejado,Si,No,CLON-01,0.91,1,alto
SIN-00011,POL-00324,ASEG-00032,VEH-00111,COND-00023,PROV-0016,Vehiculos,Responsabilidad Civil,2025-06-16,2025-06-17,3770,3420,1510,Pago Total,Manta,Manta,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0016,246,119,1,4,2,1,0,Frontal,15,Si,No,Urbana,Neblina,No,No,,0.17,1,normal
SIN-00012,POL-00034,ASEG-00234,VEH-00236,COND-00184,PROV-0023,Vehiculos,Responsabilidad Civil,2023-10-20,2023-10-22,4890,4720,4890,Pago Parcial,Machala,Machala,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0023,96,269,2,1,1,0,1,Frontal,11,No aplica,No,Urbana,Despejado,No,No,,0.36,0,normal
SIN-00013,POL-00233,ASEG-00104,,,PROV-0045,Hogar,Incendio,2026-05-12,2026-05-18,21300,15820,17040,Pago Total,Guayaquil Sur,Guayaquil,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0045,196,169,6,2,0,0,1,Volcadura,17,Si,No aplica,Interprovincial,Neblina,Si,No,,0.44,1,medio
SIN-00014,POL-00485,ASEG-00162,VEH-00217,COND-00295,PROV-0026,Vehiculos,Danos Propios,2025-12-18,2025-12-18,2480,2320,1980,Pago Total,Quito Norte,Quito,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0026,181,184,0,1,4,1,0,Posterior,4,Si,No,Parqueadero,Neblina,No,No,,0.48,0,normal
SIN-00015,POL-00165,ASEG-00180,VEH-00339,COND-00308,PROV-0060,Vehiculos,Choque,2023-05-21,2023-05-23,13490,11870,5400,Pago Total,Guayaquil Norte,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0060,106,259,2,0,0,0,0,Posterior,11,No aplica,No,Parqueadero,Neblina,No,Si,,0.57,0,normal
SIN-00016,POL-00356,ASEG-00139,VEH-00047,COND-00321,PROV-0032,Vehiculos,Robo Total,2023-10-06,2023-10-08,24760,33790,9910,Anticipo,Machala,Machala,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0032,161,204,2,1,1,0,0,Robo,22,Si,Si,Parqueadero,Neblina,No,No,,0.11,0,normal
SIN-00017,POL-00118,ASEG-00063,,,PROV-0046,Accidentes Personales,Accidente Personal,2026-04-06,2026-04-06,250,250,250,Reserva,Quito Centro,Quito,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,Si,PROV-0046,257,108,0,5,0,0,0,Posterior,9,No,No,Parqueadero,Noche seca,Si,No,,0.18,0,medio
SIN-00018,POL-00132,ASEG-00091,VEH-00193,COND-00303,PROV-0013,Vehiculos,Choque,2024-09-20,2024-09-22,7720,8720,0,Liquidado,Santo Domingo,Santo Domingo,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0013,95,270,2,1,1,0,0,Sin impacto,23,Si,No,Parqueadero,Noche seca,No,No,,0.43,0,normal
SIN-00019,POL-00127,ASEG-00294,,,PROV-0032,Hogar,Dano por Agua,2024-08-28,2024-09-04,2800,3390,1680,Pago Parcial,Guayaquil Norte,Guayaquil,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0032,224,141,7,10,0,0,3,Estacionado,1,Si,No aplica,Urbana,Despejado,No,No,,0.23,0,normal
SIN-00020,POL-00214,ASEG-00217,VEH-00300,COND-00372,PROV-0003,Vehiculos,Cristales,2025-10-09,2025-10-12,470,390,380,Pago Total,Guayaquil Centro,Guayaquil,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0003,247,118,3,2,1,1,0,Posterior,0,Si,Si,Interprovincial,Lluvia,No,No,,0.39,0,medio
SIN-00021,POL-00386,ASEG-00217,VEH-00355,COND-00417,PROV-0058,Vehiculos,Robo Total,2024-06-18,2024-06-20,27950,27520,16770,Reserva,Santo Domingo,Santo Domingo,El conductor reporta perdida de control en curva sin testigos disponibles.,Si,PROV-0058,20,345,2,1,0,0,0,Robo,20,Si,No,Residencial,Neblina,Si,No,,0.08,0,medio
SIN-00022,POL-00184,ASEG-00060,,,PROV-0020,Accidentes Personales,Accidente Personal,2025-12-31,2026-01-01,5090,4450,3050,Reserva,Cuenca,Cuenca,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0020,202,163,1,1,0,0,0,Lateral,5,Si,No,Interprovincial,Neblina,No,No,,0.1,0,normal
