tabla,campo,tipo,descripcion
siniestros,id_siniestro,string,Identificador unico sintetico del siniestro
siniestros,id_poliza,string,Identificador de poliza sintetica
siniestros,id_asegurado,string,Identificador anonimo del asegurado
siniestros,ramo,categorical,Ramo del seguro
siniestros,cobertura,categorical,Cobertura reclamada
siniestros,fecha_ocurrencia,date,Fecha simulada del evento
siniestros,fecha_reporte,date,Fecha simulada de reporte
siniestros,monto_reclamado,numeric,Valor reclamado por asegurado o proveedor
siniestros,monto_estimado,numeric,Valor estimado por la aseguradora
siniestros,monto_pagado,numeric,Valor pagado o anticipado
siniestros,descripcion,text,Narrativa sintetica del reclamo
siniestros_scored,score_reglas,numeric,Puntaje por reglas de negocio
siniestros_scored,score_modelo_simulado,numeric,Score simulado para prototipo ML
siniestros_scored,score_final,numeric,Score combinado 0 a 100
siniestros_scored,nivel_riesgo,categorical,"Verde Bajo, Amarillo Medio o Rojo Alto"
siniestros_scored,alertas_activadas,text,Explicacion de las senales activadas
polizas,suma_asegurada,numeric,Suma asegurada simulada
proveedores,en_lista_restrictiva,categorical,Flag simulado de lista restrictiva
documentos,inconsistencia_detectada,categorical,Flag de inconsistencia documental simulada
narrativas_similares,similitud_coseno_simulada,numeric,Valor simulado de similitud textual
