id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-000001,SIN-00001,Parte policial,Si,Si,2025-09-14,No,OK
DOC-000002,SIN-00001,Fotos del dano,Si,Si,2025-09-05,No,OK
DOC-000003,SIN-00001,Factura proforma,Si,Si,2025-09-03,No,OK
DOC-000004,SIN-00001,Informe pericial,Si,Si,2025-09-03,No,OK
DOC-000005,SIN-00002,Parte policial,Si,Si,2023-10-02,No,OK
DOC-000006,SIN-00002,Fotos del dano,Si,Si,2023-09-22,No,OK
DOC-000007,SIN-00002,Factura proforma,Si,Si,2023-09-27,No,OK
DOC-000008,SIN-00002,Informe pericial,Si,Si,2023-10-03,No,OK
DOC-000009,SIN-00003,Denuncia fiscalia,Si,Si,2024-07-18,No,OK
DOC-000010,SIN-00003,Matricula,Si,Si,2024-07-31,Si,Valor no coincide con factura
DOC-000011,SIN-00003,Llaves,Si,Si,2024-07-28,Si,Valor no coincide con factura
DOC-000012,SIN-00003,Informe pericial,Si,Si,2024-07-28,No,OK
DOC-000013,SIN-00004,Factura medica,Si,Si,2024-03-12,No,OK
DOC-000014,SIN-00004,Informe medico,Si,Si,2024-03-04,No,OK
DOC-000015,SIN-00004,Formulario siniestro,No,No,,No,No entregado en expediente sintetico
DOC-000016,SIN-00005,Fotos del dano,Si,Si,2024-07-22,No,OK
DOC-000017,SIN-00005,Factura proforma,Si,Si,2024-07-31,No,OK
DOC-000018,SIN-00005,Informe pericial,Si,Si,2024-07-27,No,OK
DOC-000019,SIN-00006,Factura medica,No,No,,No,No entregado en expediente sintetico
DOC-000020,SIN-00006,Informe medico,No,No,,No,No entregado en expediente sintetico
DOC-000021,SIN-00006,Formulario siniestro,Si,Si,2023-09-05,No,OK
DOC-000022,SIN-00007,Denuncia fiscalia,Si,Si,2025-11-02,No,OK
DOC-000023,SIN-00007,Matricula,Si,No,2025-10-28,No,Documento ilegible
DOC-000024,SIN-00007,Llaves,Si,Si,2025-11-08,No,OK
DOC-000025,SIN-00007,Informe pericial,Si,Si,2025-11-04,No,OK
DOC-000026,SIN-00008,Fotos del dano,Si,Si,2025-11-02,No,OK
DOC-000027,SIN-00008,Factura proforma,Si,No,2025-11-05,No,Documento ilegible
DOC-000028,SIN-00008,Informe pericial,Si,Si,2025-10-26,No,OK
DOC-000029,SIN-00009,Fotos del dano,Si,Si,2024-04-20,No,OK
DOC-000030,SIN-00009,Factura proforma,Si,Si,2024-04-29,No,OK
DOC-000031,SIN-00009,Informe pericial,Si,Si,2024-05-02,No,OK
DOC-000032,SIN-00010,Denuncia fiscalia,Si,Si,2024-06-23,Si,Documento con alteracion simulada
DOC-000033,SIN-00010,Matricula,Si,Si,2024-05-30,Si,Fecha no coincide con evento
DOC-000034,SIN-00010,Llaves,Si,Si,2024-06-17,No,OK
DOC-000035,SIN-00010,Informe pericial,Si,Si,2024-06-05,Si,Valor no coincide con factura
DOC-000036,SIN-00011,Parte policial,Si,Si,2025-06-19,No,OK
DOC-000037,SIN-00011,Datos tercero,Si,Si,2025-06-16,No,OK
DOC-000038,SIN-00011,Fotos del dano,Si,Si,2025-06-21,No,OK
DOC-000039,SIN-00011,Informe pericial,Si,Si,2025-06-13,No,OK
DOC-000040,SIN-00012,Parte policial,Si,No,2023-10-21,No,Documento ilegible
DOC-000041,SIN-00012,Datos tercero,Si,Si,2023-10-21,No,OK
DOC-000042,SIN-00012,Fotos del dano,Si,Si,2023-10-18,No,OK
DOC-000043,SIN-00012,Informe pericial,Si,Si,2023-10-24,No,OK
DOC-000044,SIN-00013,Informe bomberos,Si,Si,2026-05-21,No,OK
DOC-000045,SIN-00013,Fotos del dano,Si,Si,2026-05-12,No,OK
DOC-000046,SIN-00013,Factura proforma,Si,Si,2026-05-20,No,OK
DOC-000047,SIN-00014,Fotos del dano,Si,Si,2025-12-17,No,OK
DOC-000048,SIN-00014,Factura proforma,Si,Si,2025-12-22,No,OK
DOC-000049,SIN-00014,Informe pericial,Si,Si,2025-12-29,No,OK
DOC-000050,SIN-00015,Parte policial,Si,Si,2023-05-26,No,OK
DOC-000051,SIN-00015,Fotos del dano,Si,Si,2023-05-25,No,OK
DOC-000052,SIN-00015,Factura proforma,Si,Si,2023-05-22,No,OK
DOC-000053,SIN-00015,Informe pericial,Si,Si,2023-05-31,No,OK
DOC-000054,SIN-00016,Denuncia fiscalia,Si,Si,2023-10-17,No,OK
DOC-000055,SIN-00016,Matricula,Si,Si,2023-10-09,No,OK
DOC-000056,SIN-00016,Llaves,Si,Si,2023-10-04,No,OK
DOC-000057,SIN-00016,Informe pericial,Si,Si,2023-10-06,No,OK
DOC-000058,SIN-00017,Factura medica,Si,No,2026-04-04,No,Documento ilegible
DOC-000059,SIN-00017,Informe medico,Si,Si,2026-03-31,Si,Fecha no coincide con evento
DOC-000060,SIN-00017,Formulario siniestro,No,No,,No,No entregado en expediente sintetico
DOC-000061,SIN-00018,Parte policial,Si,Si,2024-09-28,No,OK
DOC-000062,SIN-00018,Fotos del dano,Si,Si,2024-09-23,No,OK
DOC-000063,SIN-00018,Factura proforma,No,No,,No,No entregado en expediente sintetico
DOC-000064,SIN-00018,Informe pericial,Si,Si,2024-10-02,No,OK
DOC-000065,SIN-00019,Fotos del dano,Si,Si,2024-09-03,No,OK
DOC-000066,SIN-00019,Informe tecnico,Si,Si,2024-09-04,No,OK
DOC-000067,SIN-00019,Factura proforma,Si,Si,2024-09-07,No,OK
DOC-000068,SIN-00020,Fotos del dano,Si,Si,2025-10-18,No,OK
DOC-000069,SIN-00020,Factura proforma,Si,Si,2025-10-20,No,OK
DOC-000070,SIN-00021,Denuncia fiscalia,Si,Si,2024-06-11,Si,Fecha no coincide con evento
DOC-000071,SIN-00021,Matricula,Si,Si,2024-06-11,Si,Documento con alteracion simulada
DOC-000072,SIN-00021,Llaves,No,No,,No,No entregado en expediente sintetico
DOC-000073,SIN-00021,Informe pericial,Si,Si,2024-06-20,No,OK
DOC-000074,SIN-00022,Factura medica,Si,Si,2026-01-04,No,OK
DOC-000075,SIN-00022,Informe medico,No,No,,No,No entregado en expediente sintetico
DOC-000076,SIN-00022,Formulario siniestro,No,No,,No,No entregado en expediente sintetico
DOC-000077,SIN-00023,Fotos del dano,Si,Si,2024-09-14,No,OK
DOC-000078,SIN-00023,Factura proforma,Si,Si,2024-09-17,No,OK
DOC-000079,SIN-00023,Informe pericial,Si,Si,2024-09-05,No,OK
DOC-000080,SIN-00024,Parte policial,Si,Si,2025-12-27,No,OK
DOC-000081,SIN-00024,Datos tercero,Si,Si,2025-12-28,No,OK
DOC-000082,SIN-00024,Fotos del dano,Si,Si,2026-01-06,No,OK
DOC-000083,SIN-00024,Informe pericial,Si,Si,2025-12-23,No,OK
DOC-000084,SIN-00025,Parte policial,Si,Si,2025-01-04,No,OK
DOC-000085,SIN-00025,Fotos del dano,Si,Si,2025-01-08,No,OK
DOC-000086,SIN-00025,Factura proforma,Si,Si,2025-01-04,No,OK
DOC-000087,SIN-00025,Informe pericial,Si,Si,2025-01-09,No,OK
DOC-000088,SIN-00026,Factura medica,Si,Si,2024-04-04,No,OK
DOC-000089,SIN-00026,Informe medico,Si,Si,2024-04-03,No,OK
DOC-000090,SIN-00026,Parte policial,Si,Si,2024-04-07,No,OK
DOC-000091,SIN-00027,Fotos del dano,Si,Si,2025-04-08,Si,Fecha no coincide con evento
DOC-000092,SIN-00027,Factura proforma,Si,Si,2025-04-07,No,OK
DOC-000093,SIN-00028,Denuncia fiscalia,Si,Si,2025-01-08,No,OK
DOC-000094,SIN-00028,Fotos del dano,Si,Si,2025-01-01,No,OK
DOC-000095,SIN-00028,Factura proforma,Si,Si,2025-01-06,No,OK
DOC-000096,SIN-00029,Denuncia fiscalia,Si,Si,2024-07-09,No,OK
DOC-000097,SIN-00029,Inventario afectado,Si,No,2024-07-22,No,Documento ilegible
DOC-000098,SIN-00029,Factura proforma,Si,Si,2024-07-21,No,OK
DOC-000099,SIN-00030,Parte policial,Si,Si,2026-06-13,No,OK
DOC-000100,SIN-00030,Fotos del dano,No,No,,No,No entregado en expediente sintetico
DOC-000101,SIN-00030,Factura proforma,Si,Si,2026-06-04,No,OK
DOC-000102,SIN-00030,Informe pericial,Si,Si,2026-06-11,No,OK
DOC-000103,SIN-00031,Denuncia fiscalia,Si,Si,2023-12-27,No,OK
DOC-000104,SIN-00031,Matricula,Si,Si,2023-12-15,No,OK
DOC-000105,SIN-00031,Llaves,Si,Si,2023-12-21,No,OK
DOC-000106,SIN-00031,Informe pericial,Si,Si,2023-12-16,No,OK
DOC-000107,SIN-00032,Fotos del dano,Si,Si,2025-10-17,No,OK
DOC-000108,SIN-00032,Factura proforma,Si,Si,2025-10-19,No,OK
DOC-000109,SIN-00032,Informe pericial,Si,Si,2025-10-19,No,OK
DOC-000110,SIN-00033,Denuncia fiscalia,Si,Si,2024-08-05,No,OK
DOC-000111,SIN-00033,Matricula,Si,Si,2024-08-08,No,OK
DOC-000112,SIN-00033,Llaves,Si,Si,2024-08-05,No,OK
DOC-000113,SIN-00033,Informe pericial,Si,Si,2024-08-04,No,OK
DOC-000114,SIN-00034,Parte policial,Si,Si,2025-07-17,No,OK
DOC-000115,SIN-00034,Datos tercero,Si,Si,2025-07-05,No,OK
DOC-000116,SIN-00034,Fotos del dano,Si,Si,2025-07-04,No,OK
DOC-000117,SIN-00034,Informe pericial,Si,Si,2025-07-05,No,OK
DOC-000118,SIN-00035,Parte policial,Si,Si,2024-12-11,No,OK
DOC-000119,SIN-00035,Datos tercero,Si,Si,2024-12-19,No,OK
DOC-000120,SIN-00035,Fotos del dano,Si,Si,2024-12-13,No,OK
DOC-000121,SIN-00035,Informe pericial,Si,Si,2024-12-15,No,OK
DOC-000122,SIN-00036,Parte policial,Si,Si,2023-05-03,No,OK
DOC-000123,SIN-00036,Datos tercero,Si,Si,2023-05-02,No,OK
DOC-000124,SIN-00036,Fotos del dano,Si,Si,2023-04-29,No,OK
DOC-000125,SIN-00036,Informe pericial,Si,Si,2023-05-13,No,OK
DOC-000126,SIN-00037,Parte policial,Si,Si,2024-06-21,No,OK
DOC-000127,SIN-00037,Fotos del dano,Si,Si,2024-07-04,No,OK
DOC-000128,SIN-00037,Factura proforma,Si,Si,2024-06-26,No,OK
DOC-000129,SIN-00037,Informe pericial,Si,Si,2024-06-25,No,OK
DOC-000130,SIN-00038,Factura medica,Si,Si,2026-01-28,No,OK
DOC-000131,SIN-00038,Informe medico,Si,Si,2026-01-24,No,OK
DOC-000132,SIN-00038,Parte policial,Si,Si,2026-01-28,No,OK
DOC-000133,SIN-00039,Parte policial,Si,Si,2024-03-03,No,OK
DOC-000134,SIN-00039,Fotos del dano,Si,Si,2024-03-11,No,OK
DOC-000135,SIN-00039,Factura proforma,Si,Si,2024-03-11,No,OK
DOC-000136,SIN-00039,Informe pericial,Si,Si,2024-03-04,No,OK
DOC-000137,SIN-00040,Informe bomberos,Si,Si,2024-09-24,No,OK
DOC-000138,SIN-00040,Fotos del dano,Si,Si,2024-09-26,No,OK
DOC-000139,SIN-00040,Factura proforma,Si,No,2024-09-29,No,Documento ilegible
DOC-000140,SIN-00041,Denuncia fiscalia,Si,Si,2024-01-11,No,OK
DOC-000141,SIN-00041,Matricula,No,No,,No,No entregado en expediente sintetico
DOC-000142,SIN-00041,Llaves,Si,Si,2024-01-02,No,OK
DOC-000143,SIN-00041,Informe pericial,No,No,,No,No entregado en expediente sintetico
DOC-000144,SIN-00042,Parte policial,Si,Si,2025-04-20,No,OK
DOC-000145,SIN-00042,Fotos del dano,Si,Si,2025-04-17,No,OK
DOC-000146,SIN-00042,Factura proforma,Si,Si,2025-04-15,No,OK
DOC-000147,SIN-00042,Informe pericial,Si,Si,2025-04-17,No,OK
DOC-000148,SIN-00043,Fotos del dano,Si,Si,2024-07-06,No,OK
DOC-000149,SIN-00043,Informe tecnico,Si,Si,2024-06-28,No,OK
DOC-000150,SIN-00043,Factura proforma,Si,Si,2024-07-02,No,OK
DOC-000151,SIN-00044,Parte policial,Si,Si,2025-11-04,No,OK
DOC-000152,SIN-00044,Datos tercero,Si,Si,2025-10-30,No,OK
DOC-000153,SIN-00044,Fotos del dano,No,No,,No,No entregado en expediente sintetico
DOC-000154,SIN-00044,Informe pericial,Si,Si,2025-11-02,No,OK
DOC-000155,SIN-00045,Denuncia fiscalia,Si,Si,2026-01-02,No,OK
DOC-000156,SIN-00045,Fotos del dano,Si,Si,2025-12-30,No,OK
DOC-000157,SIN-00045,Factura proforma,Si,Si,2026-01-07,No,OK
DOC-000158,SIN-00046,Parte policial,Si,Si,2024-11-02,No,OK
DOC-000159,SIN-00046,Datos tercero,Si,Si,2024-11-03,No,OK
DOC-000160,SIN-00046,Fotos del dano,Si,Si,2024-11-01,No,OK
DOC-000161,SIN-00046,Informe pericial,Si,Si,2024-10-25,No,OK
DOC-000162,SIN-00047,Factura medica,Si,Si,2024-05-21,No,OK
DOC-000163,SIN-00047,Informe medico,Si,Si,2024-05-08,No,OK
DOC-000164,SIN-00047,Parte policial,Si,Si,2024-05-23,No,OK
DOC-000165,SIN-00048,Parte policial,Si,Si,2026-05-28,No,OK
DOC-000166,SIN-00048,Fotos del dano,Si,Si,2026-05-30,No,OK
DOC-000167,SIN-00048,Factura proforma,Si,Si,2026-05-19,No,OK
DOC-000168,SIN-00048,Informe pericial,Si,Si,2026-05-25,No,OK
DOC-000169,SIN-00049,Fotos del dano,Si,Si,2024-06-20,No,OK
DOC-000170,SIN-00049,Factura proforma,Si,Si,2024-06-27,No,OK
DOC-000171,SIN-00049,Informe pericial,No,No,,No,No entregado en expediente sintetico
DOC-000172,SIN-00050,Factura medica,Si,Si,2025-06-06,No,OK
DOC-000173,SIN-00050,Informe medico,Si,Si,2025-06-02,No,OK
DOC-000174,SIN-00050,Parte policial,Si,Si,2025-05-16,Si,Fecha no coincide con evento
DOC-000175,SIN-00051,Parte policial,Si,Si,2023-10-28,No,OK
DOC-000176,SIN-00051,Fotos del dano,Si,Si,2023-11-02,No,OK
