id_vehiculo,placa_hash,marca,modelo,anio,chasis_hash,motor_hash,ciudad,uso
VEH-00001,PLC-FQM9RIT8,Mazda,Mazda 3,2024,CHS-F6KJKVCBFCQN,MTR-0B58ST4PZT,Cuenca,Particular
VEH-00002,PLC-3NVJUUWZ,Hyundai,Creta,2020,CHS-IX69GUP3HR2P,MTR-JGDSY0PKUU,Cuenca,Particular
VEH-00003,PLC-5BFZ63PN,Suzuki,Swift,2024,CHS-WDDS54S8AG1I,MTR-QXZXCZD9MX,Quito,Particular
VEH-00004,PLC-HIGZXV9X,Suzuki,Swift,2024,CHS-JM6Z6CCCIV47,MTR-3J6IUUKZTV,Quito,Particular
VEH-00005,PLC-BXVH0TB4,Suzuki,Swift,2021,CHS-QOD4K7YJPCHM,MTR-B2U0J0N064,Guayaquil,Taxi/Ride-hailing
VEH-00006,PLC-9U47YUL3,Chevrolet,Aveo,2021,CHS-8V8WQ4MPR9TO,MTR-TSN5U4W9RS,Cuenca,Particular
VEH-00007,PLC-JSCSFW2Q,Great Wall,Haval H6,2024,CHS-4NM8R9RIGPPD,MTR-7OODG0V4GI,Cuenca,Particular
VEH-00008,PLC-44MSUSDF,Hyundai,Creta,2022,CHS-O8CL0LCZ5LSC,MTR-ATGVS3875I,Guayaquil,Comercial
VEH-00009,PLC-3QLAVSML,Toyota,Hilux,2019,CHS-Z16UFZGLI4UP,MTR-AQYP2RVTAQ,Guayaquil,Particular
VEH-00010,PLC-KZ6THSXO,Chevrolet,Sail,2021,CHS-OI4J3X0948NP,MTR-F727XEHD96,Cuenca,Particular
VEH-00011,PLC-2HN5F62D,Hyundai,Santa Fe,2024,CHS-3I603D93TBZQ,MTR-ANEC1WE8DE,Guayaquil,Carga liviana
VEH-00012,PLC-I0XY2YYF,Nissan,Frontier,2017,CHS-8IWHL8Z7IOAB,MTR-T3818YOP3W,Guayaquil,Particular
VEH-00013,PLC-0BPNEGC2,Kia,Rio,2024,CHS-DPCZ2O8NDI6S,MTR-OUUPTJ7O0T,Quito,Particular
VEH-00014,PLC-DWY7U00J,Hyundai,Creta,2022,CHS-TYL84POTJ3D9,MTR-0097IYPQNV,Guayaquil,Particular
VEH-00015,PLC-MDRYCEM9,Mazda,BT-50,2021,CHS-N4NVTANMH4PN,MTR-ZP9USY38WT,Machala,Particular
VEH-00016,PLC-4UNXU0CO,Suzuki,Swift,2016,CHS-JBQ90SJMVOYP,MTR-59VQ553KWK,Guayaquil,Particular
VEH-00017,PLC-EDA0IOEJ,Hyundai,Tucson,2021,CHS-AN63XD45BA89,MTR-0AB7R8SB61,Guayaquil,Comercial
VEH-00018,PLC-PM7QWRZF,Kia,Rio,2021,CHS-XZ3POTFCFZYY,MTR-94DAKF51VG,Santo Domingo,Taxi/Ride-hailing
VEH-00019,PLC-4RCER8CL,Toyota,Corolla,2024,CHS-UBNJZETKPY8V,MTR-YIF6WDG1OE,Santo Domingo,Particular
VEH-00020,PLC-R25OW9Y1,Great Wall,Haval H6,2014,CHS-LYFSPEFRJYJY,MTR-UXGFAT2XRG,Ambato,Particular
VEH-00021,PLC-FW9FUYAS,Suzuki,Swift,2016,CHS-0YF9P7KYKIRT,MTR-R5JEK1R0T4,Quito,Comercial
